,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
26,tt5052474,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Thriller'""]",123,2018-06-27,106,1,1,11,3,55,3,49,7.1,35000000,6,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
27,tt7040874,"[""'Thriller'"", "" 'Crime'"", "" 'Mystery'"", "" 'Comedy'"", "" 'Drama'""]",117,2018-08-29,63,1,2,5,5,9,3,22,6.9,20000000,8,"['Thriller', 'Crime', 'Mystery', 'Comedy', 'Drama']",0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
28,tt4123430,"[""'Family'"", "" 'Fantasy'"", "" 'Adventure'""]",134,2018-11-14,149,1,1,10,6,61,2,16,6.8,200000000,11,"['Family', 'Fantasy', 'Adventure']",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
29,tt7668870,"[""'Drama'"", "" 'Thriller'"", "" 'Mystery'""]",103,2018-08-24,46,1,2,9,1,13,3,39,7.7,388769,8,"['Drama', 'Thriller', 'Mystery']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
31,tt1213641,"[""'History'"", "" 'Drama'""]",141,2018-10-11,158,1,2,10,7,21,7,23,7.5,59000000,10,"['History', 'Drama']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,tt2873282,"[""'Mystery'"", "" 'Thriller'""]",140,2018-02-28,79,1,2,10,6,37,5,20,6.6,69000000,2,"['Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,tt4912910,"[""'Action'"", "" 'Thriller'"", "" 'Adventure'""]",148,2018-07-13,96,1,2,10,23,140,8,47,7.8,178000000,7,"['Action', 'Thriller', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,tt2231461,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Fantasy'""]",107,2018-04-12,118,1,4,16,15,144,6,28,6.1,120000000,4,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
35,tt4500922,"[""'Action'"", "" 'Mystery'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Adventure'"", "" 'Fantasy'""]",144,2018-01-10,41,1,2,13,11,48,3,20,6.2,62000000,1,"['Action', 'Mystery', 'Science Fiction', 'Thriller', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
36,tt5463162,"[""'Action'"", "" 'Comedy'"", "" 'Adventure'""]",121,2018-05-15,69,1,5,10,8,111,6,21,7.8,110000000,5,"['Action', 'Comedy', 'Adventure']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
