,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
109,tt4425200,"[""'Thriller'"", "" 'Action'"", "" 'Crime'""]",122,2017-02-08,86,1,1,13,14,113,5,1,7.5,40000000,2,"['Thriller', 'Action', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
110,tt1485796,"[""'Drama'""]",105,2017-12-20,151,1,2,8,6,62,3,21,7.7,84000000,12,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,tt3521126,"[""'Comedy'"", "" 'Drama'""]",104,2017-03-12,123,1,4,22,6,1,6,19,7.4,10000000,3,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
112,tt5439796,"[""'Action'"", "" 'Comedy'"", "" 'Crime'"", "" 'Drama'""]",119,2017-08-17,164,1,1,9,4,25,2,1,7.0,29000000,8,"['Action', 'Comedy', 'Crime', 'Drama']",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
114,tt1396484,"[""'Horror'"", "" 'Thriller'""]",135,2017-09-06,49,1,4,13,3,42,5,27,7.4,35000000,9,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
115,tt2316204,"[""'Horror'"", "" 'Science Fiction'"", "" 'Thriller'""]",122,2017-05-09,26,1,6,8,6,45,4,21,6.4,97000000,5,"['Horror', 'Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
116,tt4649466,"[""'Action'"", "" 'Adventure'""]",141,2017-09-20,133,1,4,11,6,118,4,25,6.8,104000000,9,"['Action', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,tt4925292,"[""'Comedy'"", "" 'Drama'""]",94,2017-09-08,72,1,1,6,8,10,4,2,7.4,10000000,9,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
118,tt2543472,"[""'Drama'"", "" 'Family'""]",113,2017-11-13,70,1,4,12,8,10,4,27,8.0,20000000,11,"['Drama', 'Family']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119,tt2250912,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Drama'""]",133,2017-07-05,137,1,10,12,8,154,3,42,7.5,175000000,7,"['Action', 'Adventure', 'Science Fiction', 'Drama']",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
120,tt2239822,"[""'Adventure'"", "" 'Science Fiction'"", "" 'Action'""]",136,2017-07-20,117,1,3,8,17,33,11,39,6.5,177200000,7,"['Adventure', 'Science Fiction', 'Action']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,tt5580390,"[""'Drama'"", "" 'Fantasy'"", "" 'Romance'""]",123,2017-12-01,49,1,2,6,2,24,4,22,7.4,19400000,12,"['Drama', 'Fantasy', 'Romance']",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
122,tt1469304,"[""'Action'"", "" 'Comedy'""]",116,2017-05-12,149,1,9,18,6,63,9,36,5.6,69000000,5,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,tt3450958,"[""'Drama'"", "" 'Science Fiction'"", "" 'War'""]",140,2017-07-11,50,1,5,8,8,97,3,22,7.5,150000000,7,"['Drama', 'Science Fiction', 'War']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
124,tt6294822,"[""'Drama'"", "" 'History'""]",116,2017-12-22,179,1,2,11,8,42,5,44,7.2,50000000,12,"['Drama', 'History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
125,tt4555426,"[""'Drama'"", "" 'History'""]",125,2017-11-22,110,1,1,9,3,9,2,25,7.4,30000000,11,"['Drama', 'History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
126,tt3371366,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Adventure'""]",149,2017-06-16,174,1,4,14,14,156,6,37,5.2,217000000,6,"['Action', 'Science Fiction', 'Thriller', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
127,tt5109784,"[""'Drama'"", "" 'Horror'"", "" 'Mystery'""]",121,2017-09-13,72,1,1,7,10,34,2,42,6.6,30000000,9,"['Drama', 'Horror', 'Mystery']",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
128,tt2771200,"[""'Family'"", "" 'Fantasy'"", "" 'Romance'""]",129,2017-03-16,162,1,5,10,7,24,2,45,7.2,160000000,3,"['Family', 'Fantasy', 'Romance']",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
129,tt1790809,"[""'Adventure'"", "" 'Action'"", "" 'Fantasy'"", "" 'Comedy'""]",129,2017-05-23,156,2,5,7,13,163,3,27,6.6,230000000,5,"['Adventure', 'Action', 'Fantasy', 'Comedy']",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
130,tt0451279,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'War'""]",141,2017-05-30,162,1,5,13,24,182,7,29,7.5,149000000,5,"['Action', 'Adventure', 'Fantasy', 'War']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
131,tt5013056,"[""'Action'"", "" 'Drama'"", "" 'History'"", "" 'Thriller'"", "" 'War'""]",107,2017-07-19,77,1,1,7,11,103,7,26,7.9,100000000,7,"['Action', 'Drama', 'History', 'Thriller', 'War']",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
132,tt1959563,"[""'Action'"", "" 'Comedy'""]",118,2017-08-16,126,1,1,31,8,163,9,1,6.9,30000000,8,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,tt2283362,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Fantasy'""]",119,2017-12-09,79,1,8,10,8,64,5,27,7.0,90000000,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
134,tt5027774,"[""'Crime'"", "" 'Drama'""]",115,2017-11-10,42,1,1,9,3,10,3,26,8.2,15000000,11,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
135,tt5362988,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Thriller'""]",107,2017-08-03,35,1,1,28,3,23,11,2,7.7,11000000,8,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
136,tt2406566,"[""'Action'"", "" 'Mystery'"", "" 'Thriller'""]",115,2017-07-26,26,1,3,20,6,41,7,1,6.7,30000000,7,"['Action', 'Mystery', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
137,tt3315342,"[""'Action'"", "" 'Drama'"", "" 'Science Fiction'""]",137,2017-02-28,110,1,9,9,5,128,6,26,8.1,97000000,2,"['Action', 'Drama', 'Science Fiction']",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
138,tt2345759,"[""'Fantasy'"", "" 'Thriller'"", "" 'Action'"", "" 'Adventure'"", "" 'Horror'""]",110,2017-06-06,79,1,6,8,6,146,6,22,5.5,125000000,6,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
139,tt1219827,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",107,2017-03-29,59,1,4,12,15,80,10,49,6.4,110000000,3,"['Action', 'Science Fiction', 'Thriller', 'Drama']",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
140,tt5462602,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",120,2017-06-23,47,1,2,8,3,4,3,2,7.6,5000000,6,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
141,tt2527336,"[""'Fantasy'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Action'""]",152,2017-12-13,118,1,2,16,22,62,7,48,7.2,220009584,12,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
142,tt3532216,"[""'Thriller'"", "" 'Action'""]",115,2017-08-17,151,1,1,32,9,36,6,1,7.2,50000000,8,"['Thriller', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,tt4630562,"[""'Adventure'"", "" 'Action'"", "" 'Crime'"", "" 'Thriller'"", "" 'Mystery'""]",136,2017-04-12,182,1,2,10,11,195,6,31,6.7,250000000,4,"['Adventure', 'Action', 'Crime', 'Thriller', 'Mystery']",1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
144,tt1972591,"[""'Action'"", "" 'Drama'"", "" 'Fantasy'""]",126,2017-05-10,180,1,4,11,12,86,7,22,6.8,175000000,5,"['Action', 'Drama', 'Fantasy']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
145,tt3896198,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Science Fiction'""]",137,2017-04-19,83,1,13,9,6,67,2,23,7.7,200000000,4,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
146,tt5442430,"[""'Horror'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",103,2017-03-22,17,1,2,8,2,28,3,22,6.6,58000000,3,"['Horror', 'Science Fiction', 'Thriller', 'Drama']",0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
147,tt3731562,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",118,2017-03-08,92,1,6,10,18,79,3,28,6.7,185000000,3,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,tt2568862,"[""'Crime'"", "" 'Comedy'"", "" 'Drama'""]",96,2017-04-06,107,1,2,9,5,29,6,18,6.6,25000000,4,"['Crime', 'Comedy', 'Drama']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
149,tt2226597,"[""'Romance'"", "" 'Adventure'"", "" 'Drama'""]",109,2017-10-05,21,1,3,8,9,33,2,19,6.4,35000000,10,"['Romance', 'Adventure', 'Drama']",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
150,tt4633690,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",121,2017-07-13,83,1,1,10,3,21,4,20,7.3,3440362,7,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
151,tt5140878,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",109,2017-08-03,28,1,1,8,1,10,4,21,6.5,15000000,8,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
152,tt4877122,"[""'Animation'"", "" 'Family'"", "" 'Comedy'""]",86,2017-07-23,62,1,4,4,128,25,3,43,3.2,50000000,7,"['Animation', 'Family', 'Comedy']",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
153,tt3606752,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Family'""]",109,2017-06-15,44,1,8,3,100,70,2,37,6.8,175000000,6,"['Adventure', 'Animation', 'Comedy', 'Family']",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
154,tt1758810,"[""'Drama'"", "" 'Crime'"", "" 'Thriller'"", "" 'Horror'""]",119,2017-10-12,54,1,4,12,12,62,4,20,5.1,35000000,10,"['Drama', 'Crime', 'Thriller', 'Horror']",0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
155,tt3922818,"[""'Romance'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Drama'""]",121,2017-01-26,92,1,3,23,6,29,3,22,6.4,30000000,1,"['Romance', 'Adventure', 'Science Fiction', 'Drama']",0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
156,tt5308322,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",96,2017-10-12,35,1,1,9,3,15,4,20,6.5,4800000,10,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
157,tt5592248,"[""'Drama'"", "" 'Western'""]",93,2017-06-23,12,1,4,6,4,2,2,23,6.3,10500000,6,"['Drama', 'Western']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
158,tt3717490,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",124,2017-03-23,60,1,9,14,5,59,5,38,6.0,100000000,3,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,tt1961175,"[""'Action'"", "" 'Thriller'""]",112,2017-09-14,96,1,5,11,13,81,5,33,6.2,33000000,9,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,tt5657846,"[""'Comedy'""]",100,2017-11-09,158,1,3,9,3,25,2,45,6.0,69000000,11,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,tt5638642,"[""'Horror'""]",94,2017-10-11,16,1,2,9,4,4,2,7,6.3,1569665,10,['Horror'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,tt5649144,"[""'Drama'""]",111,2017-10-06,46,1,2,11,4,14,4,1,7.6,2000000,10,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,tt5478478,"[""'Drama'"", "" 'Western'"", "" 'History'""]",134,2017-12-22,54,1,2,17,3,20,2,15,7.2,39000000,12,"['Drama', 'Western', 'History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
165,tt1293847,"[""'Action'"", "" 'Adventure'"", "" 'Crime'""]",107,2017-01-13,107,1,2,11,10,193,7,23,5.2,85000000,1,"['Action', 'Adventure', 'Crime']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,tt5657856,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",132,2017-09-23,53,1,1,9,1,18,7,2,7.1,64453,9,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
167,tt1536537,"[""'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",123,2017-08-18,42,1,2,15,4,23,7,16,6.9,27975429,8,"['Science Fiction', 'Thriller', 'Drama']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
168,tt1981128,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'""]",109,2017-10-13,170,1,2,9,13,83,6,26,5.3,120000000,10,"['Action', 'Science Fiction', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
169,tt1389072,"[""'Comedy'"", "" 'Drama'"", "" 'Science Fiction'""]",135,2017-12-22,172,1,2,11,10,8,3,37,5.7,68000000,12,"['Comedy', 'Drama', 'Science Fiction']",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
171,tt4209788,"[""'Crime'"", "" 'Drama'""]",140,2017-12-21,102,1,2,16,7,24,5,1,7.5,2349967,12,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
172,tt4481414,"[""'Drama'"", "" 'Family'"", "" 'Comedy'""]",101,2017-04-12,78,1,1,8,3,14,4,1,7.6,7000000,4,"['Drama', 'Family', 'Comedy']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
173,tt5776858,"[""'Drama'"", "" 'Romance'""]",131,2017-12-25,82,1,1,8,9,22,4,40,7.5,35000000,12,"['Drama', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
174,tt4846232,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",101,2017-08-11,87,2,2,8,2,3,2,20,7.3,125101,8,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
175,tt4622512,"[""'Comedy'"", "" 'Drama'"", "" 'History'""]",121,2017-09-05,137,2,1,6,2,4,4,17,6.7,25000000,9,"['Comedy', 'Drama', 'History']",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
176,tt3829920,"[""'Drama'""]",133,2017-09-22,93,1,3,12,5,20,3,44,7.7,38000000,9,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,tt3967856,"[""'Adventure'"", "" 'Drama'"", "" 'Science Fiction'"", "" 'Action'""]",122,2017-06-28,118,1,2,17,5,52,3,2,7.3,50000000,6,"['Adventure', 'Drama', 'Science Fiction', 'Action']",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
178,tt5294550,"[""'Thriller'"", "" 'Drama'"", "" 'Crime'"", "" 'Mystery'""]",132,2017-12-21,80,1,2,10,12,34,6,37,6.8,50000000,12,"['Thriller', 'Drama', 'Crime', 'Mystery']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
179,tt5715874,"[""'Drama'"", "" 'Thriller'"", "" 'Mystery'""]",122,2017-10-20,69,1,2,16,3,24,3,18,7.0,115120,10,"['Drama', 'Thriller', 'Mystery']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
181,tt4287320,"[""'Drama'"", "" 'Thriller'"", "" 'Science Fiction'""]",110,2017-04-27,75,1,2,14,4,10,6,1,5.3,18000000,4,"['Drama', 'Thriller', 'Science Fiction']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
182,tt4765284,"[""'Comedy'"", "" 'Music'""]",93,2017-12-20,163,1,3,8,2,47,4,19,5.8,45000000,12,"['Comedy', 'Music']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
183,tt4995790,"[""'Drama'""]",151,2017-08-25,56,1,1,12,11,4,14,23,7.3,74233,8,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,tt4465564,"[""'Drama'"", "" 'Romance'""]",118,2017-02-08,53,1,2,4,4,32,6,19,4.6,55000000,2,"['Drama', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
185,tt4468740,"[""'Adventure'"", "" 'Comedy'"", "" 'Family'""]",104,2017-11-09,124,1,4,11,4,17,7,37,7.9,40000000,11,"['Adventure', 'Comedy', 'Family']",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
186,tt1615160,"[""'Action'"", "" 'Thriller'"", "" 'Drama'""]",113,2017-09-28,97,1,2,32,3,41,8,30,7.0,35000000,9,"['Action', 'Thriller', 'Drama']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
188,tt2763304,"[""'Crime'"", "" 'Drama'""]",117,2017-01-27,70,1,2,8,13,46,7,30,7.2,18000000,1,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
189,tt4695012,"[""'Horror'"", "" 'Thriller'"", "" 'Mystery'"", "" 'Drama'""]",91,2017-06-09,10,1,1,8,6,21,2,16,6.2,5000000,6,"['Horror', 'Thriller', 'Mystery', 'Drama']",0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
190,tt1753383,"[""'Comedy'"", "" 'Drama'"", "" 'Family'"", "" 'Fantasy'""]",100,2017-01-19,60,1,5,7,8,16,6,59,7.0,22000000,1,"['Comedy', 'Drama', 'Family', 'Fantasy']",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
191,tt6265828,"[""'Drama'"", "" 'Fantasy'"", "" 'Romance'""]",93,2017-07-07,71,1,1,5,2,2,3,28,6.8,100000,7,"['Drama', 'Fantasy', 'Romance']",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
192,tt4686844,"[""'Comedy'"", "" 'History'""]",107,2017-10-20,108,1,6,13,2,13,11,1,7.2,184805,10,"['Comedy', 'History']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
193,tt3348730,"[""'Crime'"", "" 'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",92,2017-10-26,32,2,2,11,2,16,4,23,5.8,10000000,10,"['Crime', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
194,tt5742374,"[""'Drama'"", "" 'Thriller'"", "" 'Crime'""]",89,2017-11-08,40,1,2,14,4,29,3,1,6.8,132829,11,"['Drama', 'Thriller', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
195,tt2582782,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'"", "" 'Western'""]",102,2016-08-12,64,1,1,15,4,28,4,25,7.6,12000000,8,"['Crime', 'Drama', 'Thriller', 'Western']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
196,tt4160708,"[""'Crime'"", "" 'Horror'"", "" 'Thriller'""]",89,2016-08-25,19,1,2,14,5,11,6,3,7.1,9900000,8,"['Crime', 'Horror', 'Thriller']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
197,tt2660888,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",122,2016-07-07,84,1,6,11,9,79,7,42,7.1,185000000,7,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,tt2094766,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",115,2016-12-21,81,1,6,16,6,88,11,29,5.8,125000000,12,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,tt4196776,"[""'Action'"", "" 'Thriller'""]",123,2016-07-27,229,1,3,17,16,174,6,40,6.6,120000000,7,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,tt1935859,"[""'Drama'"", "" 'Fantasy'"", "" 'Adventure'"", "" 'Family'""]",127,2016-09-28,102,1,2,6,15,69,8,25,6.7,110000000,9,"['Drama', 'Fantasy', 'Adventure', 'Family']",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
201,tt3062096,"[""'Mystery'"", "" 'Thriller'"", "" 'Drama'""]",121,2016-10-13,59,1,2,10,19,69,4,43,6.2,75000000,10,"['Mystery', 'Thriller', 'Drama']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
202,tt1355644,"[""'Drama'"", "" 'Romance'"", "" 'Science Fiction'""]",116,2016-12-21,45,1,1,12,2,16,7,33,7.0,110000000,12,"['Drama', 'Romance', 'Science Fiction']",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
203,tt1289401,"[""'Action'"", "" 'Fantasy'"", "" 'Comedy'""]",116,2016-07-14,210,1,5,12,9,93,7,41,5.2,144000000,7,"['Action', 'Fantasy', 'Comedy']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
204,tt3040964,"[""'Adventure'"", "" 'Drama'"", "" 'Family'"", "" 'Fantasy'"", "" 'Animation'""]",106,2016-04-07,28,1,2,7,20,21,4,27,7.4,175000000,4,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Animation']",0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
205,tt2119532,"[""'Drama'"", "" 'History'"", "" 'War'""]",140,2016-10-07,112,1,2,35,4,70,5,2,8.1,40000000,10,"['Drama', 'History', 'War']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
206,tt4846340,"[""'Drama'"", "" 'History'""]",127,2016-12-10,126,1,3,12,3,12,4,20,7.8,25000000,12,"['Drama', 'History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
207,tt3110958,"[""'Action'"", "" 'Comedy'"", "" 'Thriller'""]",129,2016-06-02,145,1,4,13,7,73,3,56,6.5,90000000,6,"['Action', 'Comedy', 'Thriller']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
208,tt1431045,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'""]",108,2016-02-09,55,1,2,10,5,90,5,34,8.0,58000000,2,"['Action', 'Adventure', 'Comedy']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,tt2543164,"[""'Thriller'"", "" 'Drama'"", "" 'Science Fiction'"", "" 'Mystery'""]",116,2016-11-10,74,1,2,14,5,5,4,1,7.9,47000000,11,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
210,tt3748528,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",133,2016-12-14,155,1,5,11,13,122,5,43,7.8,200000000,12,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
211,tt1179933,"[""'Thriller'"", "" 'Science Fiction'"", "" 'Drama'""]",104,2016-03-10,9,1,3,8,4,43,3,36,7.2,15000000,3,"['Thriller', 'Science Fiction', 'Drama']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
212,tt3553976,"[""'Adventure'"", "" 'Comedy'"", "" 'Drama'""]",119,2016-07-02,51,1,1,9,4,12,2,1,7.9,93824,7,"['Adventure', 'Comedy', 'Drama']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
213,tt1386697,"[""'Action'"", "" 'Adventure'"", "" 'Crime'"", "" 'Fantasy'"", "" 'Science Fiction'""]",124,2016-08-03,126,1,2,10,13,194,5,30,6.1,175000000,8,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
214,tt3300542,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",99,2016-03-02,93,1,5,20,9,157,4,1,5.9,60000000,3,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
215,tt2948356,"[""'Animation'"", "" 'Adventure'"", "" 'Family'"", "" 'Comedy'""]",109,2016-02-11,75,3,7,4,127,171,2,42,8.0,150000000,2,"['Animation', 'Adventure', 'Family', 'Comedy']",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
216,tt4776998,"[""'History'"", "" 'Romance'"", "" 'Drama'""]",130,2016-12-02,115,1,2,15,18,54,3,18,6.1,90000000,12,"['History', 'Romance', 'Drama']",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
217,tt2005151,"[""'Comedy'"", "" 'Crime'"", "" 'Drama'""]",114,2016-08-17,117,1,4,12,9,56,4,15,7.1,40000000,8,"['Comedy', 'Crime', 'Drama']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
218,tt0918940,"[""'Action'"", "" 'Adventure'""]",109,2016-06-29,169,1,3,12,15,103,9,25,6.3,180000000,6,"['Action', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,tt1700841,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Fantasy'""]",89,2016-07-11,33,2,5,14,2,41,3,1,6.2,19000000,7,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
220,tt2975590,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",151,2016-03-23,354,1,7,16,16,122,6,34,6.5,250000000,3,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
