,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
39,tt6628394,"[""'Thriller'"", "" 'Crime'"", "" 'Mystery'"", "" 'Drama'""]",142,2018-10-04,39,1,1,5,2,39,3,17,7,32000000,10
41,tt5164432,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",110,2018-02-16,105,1,3,7,4,47,4,20,7,17000000,2
42,tt2798920,"[""'Mystery'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Horror'"", "" 'Adventure'""]",115,2018-02-22,28,1,2,9,2,15,4,6,6,40000000,2
43,tt5164214,"[""'Crime'"", "" 'Comedy'"", "" 'Action'"", "" 'Thriller'""]",111,2018-06-07,237,1,4,9,5,55,4,23,6,70000000,6
44,tt2548396,"[""'Mystery'"", "" 'Thriller'"", "" 'Horror'"", "" 'Science Fiction'""]",102,2018-02-04,20,1,2,10,5,17,2,1,5,26000000,2
45,tt3829266,"[""'Science Fiction'"", "" 'Action'"", "" 'Thriller'"", "" 'Adventure'"", "" 'Horror'""]",107,2018-09-05,64,1,4,5,4,82,5,20,5,88000000,9
46,tt5758778,"[""'Action'""]",102,2018-07-11,64,1,1,10,13,74,4,45,5,125000000,7
47,tt1825683,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",134,2018-02-13,135,1,4,9,15,173,6,41,7,200000000,2
48,tt1365519,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",118,2018-03-05,62,1,5,5,9,71,4,43,6,94000000,3
49,tt7349662,"[""'Crime'"", "" 'Drama'""]",135,2018-07-30,53,1,5,13,5,7,6,28,7,15000000,7
50,tt1413492,"[""'War'"", "" 'Drama'"", "" 'History'""]",130,2018-01-16,76,1,3,18,3,31,5,1,6,15815025,1
51,tt5688932,"[""'Fantasy'"", "" 'Science Fiction'"", "" 'Comedy'""]",105,2018-07-06,85,1,1,16,2,11,5,8,7,727266,7
52,tt5246700,"[""'Science Fiction'"", "" 'Thriller'"", "" 'Mystery'""]",113,2018-07-13,44,1,1,13,4,6,2,3,5,20000000,7
53,tt5610554,"[""'Comedy'"", "" 'Drama'""]",96,2018-05-04,34,1,1,20,6,28,4,1,7,3282610,5
55,tt5848272,"[""'Family'"", "" 'Animation'"", "" 'Comedy'"", "" 'Fantasy'""]",112,2018-11-20,81,2,6,5,96,58,2,18,7,175000000,11
56,tt7153766,"[""'Horror'"", "" 'Thriller'""]",99,2018-02-21,34,1,2,7,3,5,3,12,6,1500000,2
57,tt6911608,"[""'Comedy'"", "" 'Romance'""]",113,2018-07-09,242,1,5,17,7,15,8,16,6,75000000,7
58,tt6212478,"[""'Drama'"", "" 'Crime'""]",117,2018-06-01,85,1,1,23,5,10,3,2,7,134793,6
59,tt5397194,"[""'Science Fiction'"", "" 'Thriller'""]",100,2018-05-03,53,1,1,14,4,6,3,2,6,20000000,5
60,tt0795421,"[""'Comedy'"", "" 'Romance'""]",108,2008-07-02,76,1,1,7,9,21,5,24,6,52000000,7
61,tt7014006,"[""'Comedy'"", "" 'Drama'""]",94,2018-01-19,42,1,1,6,3,6,1,4,7,2000000,1
62,tt6343314,"[""'Drama'"", "" 'Action'""]",130,2018-11-21,254,1,5,11,4,20,4,37,7,50000000,11
63,tt6133466,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Horror'""]",97,2018-07-04,101,1,1,10,3,48,3,19,5,13000000,7
64,tt6306064,"[""'Thriller'"", "" 'Romance'"", "" 'Adventure'""]",96,2018-05-31,12,1,5,17,25,2,4,19,6,35000000,5
65,tt1620680,"[""'Adventure'"", "" 'Science Fiction'"", "" 'Family'"", "" 'Fantasy'""]",109,2018-03-08,55,1,3,4,11,26,3,15,4,100000000,3
66,tt5083738,"[""'Drama'"", "" 'History'"", "" 'Comedy'""]",120,2018-11-20,59,1,2,13,10,25,4,9,7,15000000,11
67,tt6772950,"[""'Thriller'"", "" 'Horror'""]",100,2018-04-12,37,1,4,11,3,14,1,15,5,3500000,4
68,tt6663582,"[""'Action'"", "" 'Comedy'""]",117,2018-08-02,56,1,2,16,16,39,5,18,6,40000000,8
