,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
202,tt1355644,"[""'Drama'"", "" 'Romance'"", "" 'Science Fiction'""]",116,2016-12-21,45,1,1,12,2,16,7,33,7,110000000,12
203,tt1289401,"[""'Action'"", "" 'Fantasy'"", "" 'Comedy'""]",116,2016-07-14,210,1,5,12,9,93,7,41,5,144000000,7
204,tt3040964,"[""'Adventure'"", "" 'Drama'"", "" 'Family'"", "" 'Fantasy'"", "" 'Animation'""]",106,2016-04-07,28,1,2,7,20,21,4,27,7,175000000,4
205,tt2119532,"[""'Drama'"", "" 'History'"", "" 'War'""]",140,2016-10-07,112,1,2,35,4,70,5,2,8,40000000,10
206,tt4846340,"[""'Drama'"", "" 'History'""]",127,2016-12-10,126,1,3,12,3,12,4,20,7,25000000,12
207,tt3110958,"[""'Action'"", "" 'Comedy'"", "" 'Thriller'""]",129,2016-06-02,145,1,4,13,7,73,3,56,6,90000000,6
208,tt1431045,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'""]",108,2016-02-09,55,1,2,10,5,90,5,34,8,58000000,2
209,tt2543164,"[""'Thriller'"", "" 'Drama'"", "" 'Science Fiction'"", "" 'Mystery'""]",116,2016-11-10,74,1,2,14,5,5,4,1,7,47000000,11
210,tt3748528,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",133,2016-12-14,155,1,5,11,13,122,5,43,7,200000000,12
211,tt1179933,"[""'Thriller'"", "" 'Science Fiction'"", "" 'Drama'""]",104,2016-03-10,9,1,3,8,4,43,3,36,7,15000000,3
212,tt3553976,"[""'Adventure'"", "" 'Comedy'"", "" 'Drama'""]",119,2016-07-02,51,1,1,9,4,12,2,1,7,93824,7
213,tt1386697,"[""'Action'"", "" 'Adventure'"", "" 'Crime'"", "" 'Fantasy'"", "" 'Science Fiction'""]",124,2016-08-03,126,1,2,10,13,194,5,30,6,175000000,8
214,tt3300542,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",99,2016-03-02,93,1,5,20,9,157,4,1,5,60000000,3
215,tt2948356,"[""'Animation'"", "" 'Adventure'"", "" 'Family'"", "" 'Comedy'""]",109,2016-02-11,75,3,7,4,127,171,2,42,8,150000000,2
216,tt4776998,"[""'History'"", "" 'Romance'"", "" 'Drama'""]",130,2016-12-02,115,1,2,15,18,54,3,18,6,90000000,12
217,tt2005151,"[""'Comedy'"", "" 'Crime'"", "" 'Drama'""]",114,2016-08-17,117,1,4,12,9,56,4,15,7,40000000,8
218,tt0918940,"[""'Action'"", "" 'Adventure'""]",109,2016-06-29,169,1,3,12,15,103,9,25,6,180000000,6
219,tt1700841,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Fantasy'""]",89,2016-07-11,33,2,5,14,2,41,3,1,6,19000000,7
220,tt2975590,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",151,2016-03-23,354,1,7,16,16,122,6,34,6,250000000,3
221,tt3498820,"[""'Adventure'"", "" 'Action'"", "" 'Science Fiction'""]",147,2016-04-27,192,2,6,14,16,204,6,40,7,250000000,4
222,tt4550098,"[""'Drama'"", "" 'Thriller'""]",116,2016-11-04,67,1,2,5,3,10,4,3,7,22500000,11
223,tt1628841,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",120,2016-06-22,186,1,6,11,8,73,6,28,5,165000000,6
224,tt3263904,"[""'Drama'"", "" 'History'""]",96,2016-09-07,120,1,3,9,4,50,8,27,7,60000000,9
225,tt4972582,"[""'Horror'"", "" 'Thriller'""]",117,2017-01-19,65,1,1,8,4,7,5,27,7,9000000,1
226,tt3799694,"[""'Action'"", "" 'Comedy'"", "" 'Crime'"", "" 'Mystery'""]",116,2016-05-15,115,1,2,11,3,49,6,1,7,50000000,5
227,tt2140479,"[""'Crime'"", "" 'Thriller'"", "" 'Drama'""]",128,2016-10-14,101,1,1,6,4,57,5,25,7,44000000,10
228,tt3065204,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",134,2016-05-13,55,1,4,8,5,21,5,21,7,40000000,5
229,tt2674426,"[""'Drama'"", "" 'Romance'""]",110,2016-06-02,51,1,1,7,10,5,3,20,7,20000000,6
230,tt3741834,"[""'Drama'""]",118,2016-11-24,43,1,2,14,15,7,5,1,8,12000000,11
231,tt2404435,"[""'Adventure'"", "" 'Action'"", "" 'Western'""]",132,2016-09-14,115,1,5,7,8,95,8,47,6,90000000,9
232,tt1860357,"[""'Drama'"", "" 'Action'""]",107,2016-09-29,125,1,5,15,8,46,6,32,7,110000000,9
233,tt4975722,"[""'Drama'""]",111,2016-10-21,26,1,2,10,2,23,3,26,7,4000000,10
234,tt3783958,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",129,2016-11-29,213,1,1,16,9,35,6,55,8,30000000,11
235,tt0803096,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",123,2016-05-25,54,1,2,17,15,49,10,28,6,160000000,5
236,tt1489889,"[""'Action'"", "" 'Comedy'"", "" 'Mystery'""]",107,2016-06-15,160,1,3,13,1,66,6,24,6,50000000,6
237,tt1211837,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",115,2016-10-25,75,1,5,7,16,137,2,45,7,165000000,10
238,tt3183660,"[""'Adventure'"", "" 'Family'"", "" 'Fantasy'""]",133,2016-11-16,189,1,1,8,8,88,2,25,7,180000000,11
239,tt2277860,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Family'""]",97,2016-06-16,66,2,4,3,117,94,2,31,7,200000000,6
240,tt3631112,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Romance'"", "" 'Thriller'""]",112,2016-10-05,57,1,2,7,6,9,4,65,6,45000000,10
241,tt3385516,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Fantasy'""]",144,2016-05-18,109,1,6,11,9,137,6,29,7,178000000,5
242,tt4034228,"[""'Drama'""]",138,2016-11-18,74,1,1,11,3,12,8,1,7,9000000,11
243,tt4276820,"[""'Drama'"", "" 'History'""]",115,2016-09-13,73,1,1,15,3,2,5,1,7,25000000,9
244,tt4682786,"[""'Drama'"", "" 'Romance'""]",97,2016-12-06,61,1,1,15,2,24,6,20,6,36000000,12
246,tt5022702,"[""'Horror'"", "" 'Thriller'""]",82,2016-03-12,5,1,2,8,3,13,2,3,6,1000000,3
247,tt2241351,"[""'Thriller'"", "" 'Drama'""]",98,2016-05-12,153,1,3,13,3,16,4,24,6,27000000,5
248,tt2567026,"[""'Adventure'"", "" 'Family'"", "" 'Fantasy'""]",113,2016-05-25,104,1,2,6,12,37,6,26,6,170000000,5
249,tt3410834,"[""'Adventure'"", "" 'Science Fiction'"", "" 'Action'"", "" 'Mystery'""]",121,2016-03-09,224,1,4,14,3,121,3,43,5,110000000,3
250,tt4302938,"[""'Animation'"", "" 'Adventure'"", "" 'Family'""]",102,2016-08-18,22,1,3,3,52,106,2,23,7,60000000,8
252,tt2381991,"[""'Action'"", "" 'Adventure'"", "" 'Drama'""]",114,2016-04-06,71,1,3,4,5,61,3,21,6,115000000,4
253,tt3691740,"[""'Adventure'"", "" 'Family'"", "" 'Fantasy'""]",120,2016-06-01,49,1,2,10,7,78,6,1,6,140000000,6
254,tt1974419,"[""'Thriller'"", "" 'Horror'"", "" 'Mystery'""]",118,2016-06-08,57,1,3,20,1,5,6,2,6,7000000,6
255,tt3640424,"[""'Action'"", "" 'Drama'"", "" 'War'"", "" 'Romance'"", "" 'Thriller'""]",124,2016-11-17,94,1,1,9,7,18,4,33,7,85000000,11
257,tt2304933,"[""'Adventure'"", "" 'Science Fiction'""]",112,2016-01-14,116,1,4,8,2,58,4,25,5,38000000,1
258,tt3544112,"[""'Comedy'"", "" 'Romance'"", "" 'Drama'"", "" 'Music'""]",106,2016-03-11,26,1,2,15,11,3,6,2,8,63573,3
259,tt4172430,"[""'Action'"", "" 'Drama'"", "" 'History'"", "" 'Thriller'"", "" 'War'""]",144,2016-01-13,84,1,2,9,8,46,5,35,7,50000000,1
260,tt2034800,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",103,2016-12-16,19,1,6,12,12,106,8,36,6,150000000,12
261,tt4786282,"[""'Thriller'"", "" 'Mystery'"", "" 'Horror'""]",81,2016-07-21,15,1,2,16,4,14,4,16,6,4900000,7
262,tt1292566,"[""'Comedy'"", "" 'Romance'""]",110,2016-01-21,96,1,4,12,8,39,5,18,6,38000000,1
263,tt2592614,"[""'Action'"", "" 'Horror'"", "" 'Science Fiction'""]",107,2016-12-23,84,1,1,10,7,64,4,1,5,40000000,12
264,tt4438848,"[""'Comedy'""]",91,2016-05-04,98,1,5,15,4,15,4,22,5,35000000,5
265,tt4698684,"[""'Adventure'"", "" 'Comedy'"", "" 'Drama'""]",101,2016-03-31,25,1,3,10,9,54,3,1,7,78439,3
266,tt2823054,"[""'Comedy'""]",98,2016-07-07,90,1,2,7,3,22,3,20,6,33000000,7
267,tt4572514,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",133,2016-12-12,289,1,5,20,2,58,5,49,7,45000000,12
268,tt3531824,"[""'Mystery'"", "" 'Adventure'"", "" 'Crime'""]",96,2016-07-27,96,2,2,9,3,20,4,21,6,19000000,7
269,tt3949660,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Family'"", "" 'Science Fiction'""]",112,2016-06-01,128,1,4,15,20,118,7,24,6,135000000,6
270,tt0475290,"[""'Comedy'"", "" 'Drama'"", "" 'Mystery'""]",106,2016-02-05,236,2,2,6,5,37,5,1,6,22000000,2
271,tt2404233,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",127,2016-02-25,58,1,2,9,8,76,5,39,5,140000000,2
272,tt4501244,"[""'Comedy'""]",111,2016-12-22,58,1,3,8,3,18,5,24,6,38000000,12
273,tt2671706,"[""'Drama'""]",139,2016-12-16,35,1,1,17,3,6,5,23,7,24000000,12
275,tt3289956,"[""'Horror'"", "" 'Mystery'""]",86,2016-12-21,11,1,2,10,3,17,3,1,6,10474,12
276,tt3381008,"[""'Action'"", "" 'Comedy'""]",83,2016-02-24,154,1,3,18,9,78,7,20,6,35000000,2
277,tt3393786,"[""'Action'"", "" 'Adventure'"", "" 'Crime'""]",118,2016-10-19,155,1,4,8,4,64,6,32,6,60000000,10
278,tt4651520,"[""'Comedy'""]",100,2016-07-28,115,2,2,10,6,23,4,28,6,20000000,7
279,tt1860213,"[""'Comedy'""]",102,2016-01-21,97,1,1,9,4,47,6,28,5,25000000,1
280,tt3774114,"[""'Drama'"", "" 'History'"", "" 'Crime'"", "" 'Thriller'""]",134,2016-09-15,97,1,4,24,4,8,3,3,7,40000000,9
281,tt4034354,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'"", "" 'Fantasy'"", "" 'Adventure'""]",97,2016-06-24,11,2,2,10,2,21,3,17,7,3000000,6
282,tt3416532,"[""'Drama'"", "" 'Fantasy'""]",108,2016-10-07,21,1,2,12,11,7,5,37,7,43000000,10
283,tt4052882,"[""'Horror'"", "" 'Drama'"", "" 'Thriller'""]",86,2016-06-24,12,1,1,4,4,23,3,22,6,17000000,6
284,tt4094724,"[""'Action'"", "" 'Horror'"", "" 'Thriller'""]",105,2016-06-29,145,1,1,9,4,42,6,34,6,10000000,6
285,tt0490215,"[""'Drama'"", "" 'History'""]",161,2016-12-22,66,1,3,41,9,6,12,1,7,46000000,12
287,tt1878870,"[""'Comedy'"", "" 'Drama'""]",104,2016-11-18,31,1,1,16,6,3,4,1,7,9000000,11
288,tt4731136,"[""'Horror'"", "" 'Mystery'"", "" 'Science Fiction'"", "" 'Thriller'""]",146,2017-02-15,68,1,2,10,3,20,5,19,6,40000000,2
289,tt2488496,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Fantasy'""]",136,2015-12-15,181,1,4,14,15,71,4,57,8,245000000,12
290,tt2381249,"[""'Action'"", "" 'Adventure'"", "" 'Thriller'""]",131,2015-07-23,202,1,3,12,13,81,9,60,7,150000000,7
291,tt1502712,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",100,2015-08-05,129,1,5,8,3,77,8,31,4,120000000,8
292,tt3569230,"[""'Crime'"", "" 'Thriller'""]",131,2015-09-09,136,1,2,16,3,46,3,20,7,30000000,9
293,tt4046784,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'""]",132,2015-09-09,75,1,2,9,4,48,3,24,6,61000000,9
294,tt3659388,"[""'Drama'"", "" 'Adventure'"", "" 'Science Fiction'""]",141,2015-09-30,63,1,2,9,14,37,7,29,8,108000000,9
295,tt1638355,"[""'Comedy'"", "" 'Action'"", "" 'Adventure'""]",116,2015-08-13,94,1,5,10,12,68,4,34,7,75000000,8
296,tt4178092,"[""'Thriller'"", "" 'Mystery'"", "" 'Drama'""]",108,2015-07-30,23,1,1,11,2,15,3,27,7,5000000,7
298,tt1964418,"[""'Adventure'"", "" 'Family'"", "" 'Mystery'"", "" 'Science Fiction'""]",130,2015-05-19,106,1,3,11,13,54,3,29,6,190000000,5
299,tt0810819,"[""'Drama'""]",120,2015-11-27,70,1,2,14,6,2,12,1,7,15000000,11
300,tt0478970,"[""'Science Fiction'"", "" 'Action'"", "" 'Adventure'""]",117,2015-07-14,166,1,7,10,7,140,3,32,7,130000000,7
301,tt3170832,"[""'Drama'"", "" 'Thriller'""]",117,2015-10-16,27,1,1,12,2,3,7,2,8,13000000,10
302,tt1355683,"[""'Drama'"", "" 'Crime'""]",122,2015-09-04,197,1,4,19,3,22,5,1,6,53000000,9
303,tt2719848,"[""'Adventure'"", "" 'Drama'""]",121,2015-09-10,65,1,2,19,13,21,5,48,7,55000000,9
304,tt2120120,"[""'Action'"", "" 'Comedy'"", "" 'Science Fiction'""]",105,2015-07-16,144,1,3,19,11,103,7,37,5,88000000,7
305,tt1596363,"[""'Comedy'"", "" 'Drama'""]",131,2015-12-11,198,1,3,7,3,8,3,28,7,28000000,12
306,tt2080374,"[""'Drama'"", "" 'History'""]",122,2015-10-09,225,1,2,10,4,67,8,23,7,30000000,10
307,tt2820852,"[""'Action'"", "" 'Crime'"", "" 'Thriller'"", "" 'Drama'""]",137,2015-04-01,159,1,2,10,10,205,10,63,7,190000000,4
308,tt3079380,"[""'Action'"", "" 'Comedy'"", "" 'Crime'""]",120,2015-05-06,63,1,1,10,14,61,3,34,7,65000000,5
309,tt1823672,"[""'Crime'"", "" 'Action'"", "" 'Science Fiction'""]",120,2015-03-04,46,1,2,6,6,30,9,33,6,49000000,3
310,tt3152624,"[""'Comedy'"", "" 'Romance'""]",125,2015-07-17,90,1,1,8,4,8,4,26,6,35000000,7
311,tt3460252,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Western'""]",188,2015-12-25,18,1,1,8,5,27,3,1,7,44000000,12
312,tt2554274,"[""'Drama'"", "" 'Fantasy'"", "" 'Horror'"", "" 'Mystery'"", "" 'Romance'"", "" 'Thriller'""]",119,2015-10-13,55,1,2,5,5,14,2,23,6,55000000,10
313,tt2848292,"[""'Comedy'"", "" 'Music'""]",115,2015-05-07,205,1,2,9,2,13,3,1,6,29000000,5
314,tt1398426,"[""'Drama'"", "" 'Music'""]",147,2015-08-13,277,1,4,17,3,114,8,21,7,28000000,8
315,tt1663202,"[""'Western'"", "" 'Drama'"", "" 'Adventure'"", "" 'Thriller'""]",157,2015-12-25,74,1,3,19,13,110,10,31,8,135000000,12
316,tt0369610,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Thriller'""]",124,2015-06-06,229,1,5,6,6,105,6,46,7,150000000,6
317,tt1661199,"[""'Romance'"", "" 'Fantasy'"", "" 'Family'"", "" 'Drama'""]",105,2015-03-12,80,1,2,5,7,31,4,21,6,95000000,3
318,tt2361509,"[""'Comedy'""]",121,2015-09-24,121,1,1,8,4,19,1,1,7,35000000,9
319,tt1895587,"[""'Drama'"", "" 'Thriller'"", "" 'History'""]",129,2015-11-06,150,1,2,16,4,9,4,1,8,20000000,11
320,tt2395427,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",141,2015-04-22,143,1,5,16,32,247,2,30,7,250000000,4
321,tt2379713,"[""'Action'"", "" 'Adventure'"", "" 'Crime'""]",148,2015-10-26,183,1,5,12,27,164,6,45,6,245000000,10
322,tt2381941,"[""'Romance'"", "" 'Comedy'"", "" 'Crime'"", "" 'Drama'""]",105,2015-02-25,143,2,2,5,12,7,3,37,6,50100000,2
323,tt1340138,"[""'Science Fiction'"", "" 'Action'"", "" 'Thriller'"", "" 'Adventure'""]",126,2015-06-23,125,1,4,9,8,112,2,1,6,155000000,6
324,tt1617661,"[""'Science Fiction'"", "" 'Fantasy'"", "" 'Action'"", "" 'Adventure'""]",124,2015-02-04,90,2,2,7,14,94,4,39,5,176000000,2
325,tt2322441,"[""'Drama'"", "" 'Romance'"", "" 'Thriller'""]",125,2015-02-11,43,1,2,5,7,5,3,46,4,40000000,2
326,tt1392190,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Thriller'""]",121,2015-05-13,78,1,3,11,11,155,4,44,8,150000000,5
327,tt1951266,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",137,2015-11-18,179,1,3,15,14,203,3,36,6,160000000,11
328,tt1655441,"[""'Fantasy'"", "" 'Drama'"", "" 'Romance'""]",112,2015-04-16,49,1,2,13,2,7,2,26,7,25000000,4
329,tt1798684,"[""'Action'"", "" 'Drama'""]",123,2015-06-15,159,1,1,21,10,11,4,25,7,30000000,6
330,tt2126355,"[""'Action'"", "" 'Drama'"", "" 'Thriller'""]",114,2015-05-27,245,1,3,9,11,102,4,34,6,110000000,5
331,tt3076658,"[""'Drama'""]",133,2015-11-25,260,1,3,8,7,20,4,30,7,35000000,11
332,tt3397884,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Thriller'""]",122,2015-09-17,101,1,1,10,4,45,3,42,7,30000000,9
333,tt2637276,"[""'Comedy'""]",115,2015-06-25,325,1,3,11,5,63,5,27,6,68000000,6
334,tt4263482,"[""'Mystery'"", "" 'Horror'""]",92,2016-02-19,35,1,1,23,5,7,9,1,6,4000000,2
335,tt3682448,"[""'Thriller'"", "" 'Drama'""]",141,2015-10-15,172,1,3,10,12,36,8,30,7,40000000,10
336,tt2908446,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Thriller'""]",119,2015-03-18,197,1,4,14,8,111,4,35,6,110000000,3
337,tt1172049,"[""'Comedy'"", "" 'Drama'""]",101,2016-04-06,47,1,1,17,5,19,4,2,7,10000000,4
338,tt2510894,"[""'Animation'"", "" 'Comedy'"", "" 'Family'"", "" 'Fantasy'""]",89,2015-09-21,86,1,3,7,1,3,7,31,6,80000000,9
339,tt2224026,"[""'Fantasy'"", "" 'Comedy'"", "" 'Animation'"", "" 'Science Fiction'"", "" 'Family'""]",94,2015-03-18,11,1,3,3,244,12,1,33,6,135000000,3
340,tt3622592,"[""'Drama'"", "" 'Mystery'"", "" 'Romance'""]",109,2015-06-18,64,1,3,8,4,43,2,19,6,12000000,6
341,tt3316948,"[""'Comedy'"", "" 'Action'""]",96,2015-08-19,80,1,1,18,2,35,6,3,6,28000000,8
342,tt2503944,"[""'Drama'"", "" 'Comedy'""]",100,2015-10-02,73,1,2,15,11,10,3,1,6,20000000,10
343,tt2140379,"[""'Science Fiction'"", "" 'Mystery'"", "" 'Thriller'""]",116,2015-07-10,77,1,2,9,6,43,2,1,6,26000000,7
344,tt2631186,"[""'Action'"", "" 'Fantasy'"", "" 'Drama'""]",158,2015-07-10,25,1,6,6,6,11,1,20,8,18026148,7
345,tt3322364,"[""'Drama'""]",123,2015-11-12,150,1,2,11,2,3,5,20,7,35000000,11
346,tt3567288,"[""'Horror'"", "" 'Thriller'"", "" 'Mystery'""]",94,2015-09-10,28,1,1,5,5,28,2,21,6,5000000,9
347,tt2402927,"[""'Romance'"", "" 'Drama'""]",118,2015-11-20,81,1,2,13,3,41,11,1,7,11800000,11
348,tt2494362,"[""'Horror'"", "" 'Western'"", "" 'Adventure'"", "" 'Drama'"", "" 'Thriller'""]",132,2015-10-23,34,1,1,14,3,39,6,3,7,1800000,10
349,tt1365050,"[""'Drama'"", "" 'War'""]",137,2015-09-11,64,1,2,26,4,1,7,5,7,6000000,9
350,tt0884732,"[""'Comedy'""]",101,2015-01-16,98,1,2,10,3,35,4,23,6,23000000,1
351,tt1528854,"[""'Comedy'""]",96,2015-12-25,134,1,3,11,4,30,3,38,6,50000000,12
352,tt3332064,"[""'Adventure'"", "" 'Family'"", "" 'Fantasy'""]",111,2015-09-24,75,1,2,5,11,111,5,28,5,150000000,9
353,tt3072482,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",97,2015-09-12,96,1,2,28,23,11,3,29,6,2000000,9
354,tt1390411,"[""'Thriller'"", "" 'Drama'"", "" 'Adventure'"", "" 'Action'"", "" 'History'""]",122,2015-11-20,70,1,4,12,11,36,10,33,6,100000000,11
355,tt2400463,"[""'Thriller'""]",100,2015-08-05,16,1,2,17,2,5,4,2,6,67877,8
356,tt2057392,"[""'Drama'"", "" 'Thriller'"", "" 'War'""]",102,2015-09-11,75,1,1,12,2,28,2,1,7,13000000,9
357,tt2401878,"[""'Animation'"", "" 'Comedy'"", "" 'Drama'"", "" 'Romance'""]",90,2015-12-30,3,2,1,16,11,14,5,1,7,8000000,12
358,tt4062536,"[""'Horror'"", "" 'Crime'"", "" 'Thriller'""]",95,2016-04-15,31,1,1,8,4,10,2,2,7,5000000,4
359,tt3195644,"[""'Drama'"", "" 'Horror'"", "" 'Thriller'""]",97,2015-06-04,36,1,1,14,4,13,6,1,6,10000000,6
360,tt2381111,"[""'Drama'"", "" 'Romance'""]",111,2015-10-20,49,1,2,18,5,1,21,1,7,11000000,10
361,tt1014763,"[""'Crime'"", "" 'Thriller'""]",137,2015-03-15,76,1,3,13,4,43,4,2,6,50000000,3
362,tt3850214,"[""'Crime'"", "" 'Drama'"", "" 'Comedy'""]",103,2015-06-19,46,1,1,11,1,9,4,1,7,7000000,6
363,tt3605418,"[""'Drama'"", "" 'Thriller'""]",99,2015-06-26,10,1,5,12,3,1,6,1,4,2500000,6
364,tt1618442,"[""'Fantasy'"", "" 'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",106,2015-10-21,142,1,3,14,6,32,7,26,6,90000000,10
365,tt3488710,"[""'Adventure'"", "" 'Drama'"", "" 'Thriller'""]",123,2015-09-30,81,1,3,6,2,8,4,25,7,35000000,9
366,tt2436386,"[""'Science Fiction'"", "" 'Thriller'""]",106,2015-01-28,67,1,2,7,28,8,4,21,6,12000000,1
367,tt2726560,"[""'Drama'"", "" 'Romance'""]",128,2015-04-09,190,1,2,10,3,13,3,22,7,34000000,4
368,tt3203606,"[""'Drama'""]",124,2015-10-27,135,1,2,11,4,3,3,2,7,15000000,10
369,tt1850457,"[""'Comedy'""]",118,2015-12-18,115,1,1,9,4,24,1,15,6,30000000,12
370,tt2199571,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Thriller'""]",114,2015-03-11,112,1,1,7,4,63,4,36,6,50000000,3
371,tt3863552,"[""'Action'"", "" 'Comedy'"", "" 'Drama'""]",163,2015-07-17,124,1,5,9,4,2,5,1,8,2425000,7
372,tt2446980,"[""'Drama'"", "" 'Comedy'""]",124,2015-12-24,158,1,2,14,6,7,5,28,6,60000000,12
373,tt1083452,"[""'Comedy'"", "" 'Drama'"", "" 'History'"", "" 'Adventure'""]",106,2016-02-26,54,1,2,15,13,45,4,21,7,23000000,2
374,tt3045616,"[""'Comedy'"", "" 'Adventure'""]",106,2015-01-21,82,1,2,9,6,88,4,27,5,60000000,1
375,tt3168230,"[""'Drama'"", "" 'Mystery'""]",103,2015-06-19,63,1,3,17,7,1,7,1,6,10000000,6
376,tt1666801,"[""'Romance'"", "" 'Comedy'""]",100,2015-02-20,70,1,2,7,2,2,3,1,6,8500000,2
377,tt1524930,"[""'Comedy'""]",99,2015-07-28,101,2,3,9,4,43,3,21,6,31000000,7
378,tt2679042,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",96,2015-08-20,55,1,4,14,6,64,11,29,5,35000000,8
380,tt1674771,"[""'Comedy'""]",104,2015-06-03,168,1,2,11,9,42,6,23,6,30000000,6
381,tt1051904,"[""'Adventure'"", "" 'Horror'"", "" 'Comedy'""]",103,2015-08-05,87,1,4,8,2,43,10,30,6,58000000,8
382,tt1781922,"[""'Action'"", "" 'Thriller'""]",103,2015-08-26,46,1,2,10,4,85,3,1,6,16200000,8
383,tt3530002,"[""'Comedy'""]",101,2015-11-20,90,1,4,13,7,45,4,14,6,25000000,11
384,tt2582496,"[""'Comedy'"", "" 'Drama'""]",105,2015-06-12,58,1,1,7,3,25,1,14,7,8000000,6
385,tt1979388,"[""'Adventure'"", "" 'Animation'"", "" 'Family'""]",93,2015-11-14,27,1,7,5,1,72,2,28,6,200000000,11
386,tt2561572,"[""'Comedy'""]",100,2015-03-26,154,1,4,8,4,42,2,21,6,40000000,3
387,tt1959490,"[""'Drama'"", "" 'Adventure'""]",138,2014-03-07,127,1,2,9,10,104,5,26,5,125000000,3
388,tt2557490,"[""'Comedy'"", "" 'Western'""]",116,2014-05-22,154,1,3,11,4,47,4,29,6,40000000,5
389,tt2084970,"[""'History'"", "" 'Drama'"", "" 'Thriller'"", "" 'War'""]",113,2014-11-14,79,1,2,5,5,6,4,2,8,14000000,11
390,tt2562232,"[""'Drama'"", "" 'Comedy'""]",120,2014-08-27,120,1,5,12,10,38,6,29,7,18000000,8
391,tt1291150,"[""'Science Fiction'"", "" 'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Comedy'""]",101,2014-08-07,134,1,5,14,7,145,6,33,5,125000000,8
392,tt0831387,"[""'Action'"", "" 'Drama'"", "" 'Science Fiction'""]",123,2014-05-14,174,1,7,13,16,183,5,44,6,160000000,5
393,tt2872718,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",118,2014-10-23,54,1,1,10,6,45,3,1,7,8500000,10
394,tt2321549,"[""'Drama'"", "" 'Thriller'"", "" 'Horror'""]",93,2014-05-22,36,1,1,8,5,4,5,2,6,2000000,5
395,tt2582846,"[""'Romance'"", "" 'Drama'""]",125,2014-05-16,92,1,3,5,5,1,3,29,7,12000000,5
396,tt2278388,"[""'Comedy'"", "" 'Drama'""]",99,2014-02-26,102,1,3,11,4,7,6,30,8,25000000,2
397,tt0816692,"[""'Adventure'"", "" 'Drama'"", "" 'Science Fiction'""]",169,2014-11-05,44,1,2,20,22,26,7,40,8,165000000,11
398,tt2980516,"[""'Drama'"", "" 'Romance'""]",123,2014-11-26,110,1,2,9,6,5,3,24,7,15000000,11
399,tt1490017,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Family'"", "" 'Fantasy'""]",100,2014-02-06,35,2,9,18,43,18,13,51,7,60000000,2
400,tt1872194,"[""'Drama'""]",141,2014-10-08,154,1,3,9,5,11,4,38,7,50000000,10
401,tt2024469,"[""'Action'"", "" 'Thriller'"", "" 'Mystery'""]",106,2014-02-26,83,1,3,12,3,34,7,51,7,50000000,2
402,tt0829150,"[""'Horror'"", "" 'Action'"", "" 'Drama'"", "" 'Fantasy'"", "" 'War'""]",92,2014-10-01,106,1,3,5,8,74,5,35,6,70000000,10
403,tt2004420,"[""'Comedy'""]",96,2014-05-08,95,1,2,9,4,14,2,32,6,18000000,5
