,0,1,2,3,4,5,6,7,8,9
tt2854926,['74'],74,1,3,7,4,27,2,8,8
tt3778644,['93'],93,1,3,16,18,112,4,39,39
tt5095030,['177'],177,1,8,10,8,145,1,39,39
tt3104988,['66'],66,1,3,14,4,5,3,12,12
tt1259528,['111'],111,1,2,20,4,72,4,1,1
tt2704998,['65'],65,2,1,10,3,30,6,18,18
tt4633694,['74'],74,3,19,10,275,32,7,29,29
tt1590193,['78'],78,1,3,9,3,42,8,1,1
tt5052474,['106'],106,1,1,11,3,55,3,49,49
tt7040874,['63'],63,1,2,5,5,9,3,22,22
tt4123430,['149'],149,1,1,10,6,61,2,16,16
tt7668870,['46'],46,1,2,9,1,13,3,39,39
tt6412452,['71'],71,2,4,7,2,11,3,5,5
