,0,1,2,3,4,5,6,7,8,9
tt5462602,['47'],47,1,2,8,3,4,3,2,2
tt2527336,['118'],118,1,2,16,22,62,7,48,48
tt3532216,['151'],151,1,1,32,9,36,6,1,1
tt4630562,['182'],182,1,2,10,11,195,6,31,31
tt1972591,['180'],180,1,4,11,12,86,7,22,22
tt3896198,['83'],83,1,13,9,6,67,2,23,23
tt5442430,['17'],17,1,2,8,2,28,3,22,22
tt3731562,['92'],92,1,6,10,18,79,3,28,28
tt2568862,['107'],107,1,2,9,5,29,6,18,18
tt2226597,['21'],21,1,3,8,9,33,2,19,19
tt4633690,['83'],83,1,1,10,3,21,4,20,20
tt5140878,['28'],28,1,1,8,1,10,4,21,21
tt4877122,['62'],62,1,4,4,128,25,3,43,43
tt3874544,['24'],24,1,2,3,4,,2,28,28
tt3606752,['44'],44,1,8,3,100,70,2,37,37
tt1758810,['54'],54,1,4,12,12,62,4,20,20
tt3922818,['92'],92,1,3,23,6,29,3,22,22
tt5308322,['35'],35,1,1,9,3,15,4,20,20
tt5592248,['12'],12,1,4,6,4,2,2,23,23
tt3717490,['60'],60,1,9,14,5,59,5,38,38
tt1961175,['96'],96,1,5,11,13,81,5,33,33
tt5657846,['158'],158,1,3,9,3,25,2,45,45
tt5638642,['16'],16,1,2,9,4,4,2,7,7
tt5649144,['46'],46,1,2,11,4,14,4,1,1
tt4849438,['21'],21,1,7,4,12,4,1,15,15
tt5478478,['54'],54,1,2,17,3,20,2,15,15
tt1293847,['107'],107,1,2,11,10,193,7,23,23
tt5657856,['53'],53,1,1,9,1,18,7,2,2
tt1536537,['42'],42,1,2,15,4,23,7,16,16
tt1981128,['170'],170,1,2,9,13,83,6,26,26
tt3469046,['38'],38,3,2,5,1,,2,22,22
tt1389072,['172'],172,1,2,11,10,8,3,37,37
tt4225622,['22'],22,1,1,10,3,19,3,2,2
tt4209788,['102'],102,1,2,16,7,24,5,1,1
tt4481414,['78'],78,1,1,8,3,14,4,1,1
tt5776858,['82'],82,1,1,8,9,22,4,40,40
tt4846232,['87'],87,2,2,8,2,3,2,20,20
tt4622512,['137'],137,2,1,6,2,4,4,17,17
