,0,1,2,3
tt6921996,"['Adventure', 'Family', 'Action', 'Comedy']",89.0,2018-09-13,7.4
tt6697582,"['Adventure', 'Comedy', 'Science Fiction']",125.0,2018-01-05,7.4
tt3201640,"['Science Fiction', 'Thriller', 'Drama', 'Action']",96.0,2018-07-15,7.4
tt6452574,"['Drama', 'Comedy']",161.0,2018-06-29,7.4
tt4701182,"['Action', 'Adventure', 'Science Fiction']",114.0,2018-12-15,7.4
tt5834262,"['Thriller', 'Science Fiction', 'Action']",94.0,2018-06-07,7.4
tt6850820,"['Action', 'Thriller', 'Drama']",102.0,2018-09-06,7.4
tt7431594,"['Thriller', 'Action']",160.0,2018-06-15,7.4
tt2388771,"['Adventure', 'Drama']",105.0,2018-11-25,7.4
tt6217306,"['Thriller', 'Mystery', 'Fantasy', 'Horror']",130.0,2018-09-21,7.4
tt8108198,"['Thriller', 'Comedy', 'Crime']",139.0,2018-10-05,7.4
tt6966692,"['Drama', 'Comedy']",130.0,2018-11-16,7.4
tt3892172,['Drama'],110.0,2018-06-29,7.4
tt4560436,"['Action', 'Thriller', 'Adventure', 'Crime']",95.0,2018-08-16,7.4
tt2531344,['Comedy'],102.0,2018-03-14,7.4
tt5726086,"['Mystery', 'Horror', 'Thriller']",118.0,2018-01-03,7.4
tt5304992,"['Romance', 'Comedy']",105.0,2018-06-12,7.4
tt1137450,"['Action', 'Crime', 'Drama', 'Thriller']",107.0,2018-03-02,7.4
tt6998518,"['Action', 'Thriller', 'Horror']",122.0,2018-09-13,7.4
tt3799232,"['Romance', 'Comedy']",105.0,2018-05-11,7.4
tt5783956,"['Comedy', 'Romance', 'Fantasy']",97.0,2018-02-09,7.4
tt4218572,"['Crime', 'Drama', 'Thriller']",128.0,2018-11-06,7.4
tt6791096,['Comedy'],111.0,2018-04-19,7.4
tt5028340,"['Fantasy', 'Family', 'Comedy']",131.0,2018-12-19,7.4
tt2119543,"['Horror', 'Fantasy', 'Thriller', 'Family', 'Mystery']",106.0,2018-09-15,7.4
tt4244998,"['Adventure', 'Drama']",97.0,2018-08-17,7.4
tt4477536,"['Drama', 'Romance']",105.0,2018-01-17,7.4
tt3890160,"['Action', 'Crime']",112.0,2017-06-28,7.4
tt1648190,"['Action', 'Fantasy', 'Science Fiction', 'Western', 'Horror']",95.0,2017-08-03,7.4
tt3501632,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",130.0,2017-10-25,7.4
tt5519340,"['Action', 'Crime', 'Fantasy']",117.0,2017-12-22,7.4
tt5580036,['Drama'],121.0,2017-12-08,7.4
tt5052448,"['Mystery', 'Thriller', 'Horror']",104.0,2017-02-24,7.4
tt0974015,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",120.0,2017-11-15,7.4
