,0
tt3397884,7.6
tt1951266,6.6
tt4263482,6.8
tt3076658,7.6
tt1340138,6.4
tt1638355,7.3
tt1661199,6.9
tt2080374,7.2
tt2379713,6.8
tt2126355,6.1
tt2322441,4.1
tt0478970,7.3
tt4046784,6.3
tt1895587,8.1
tt2096673,8.2
tt3079380,7.0
tt1355683,6.9
tt1655441,7.2
tt3569230,7.0
tt1596363,7.8
tt2719848,7.1
tt2908446,6.2
tt3659388,8.0
tt3170832,8.2
tt0369610,7.0
tt0810819,7.1
tt3682448,7.6
tt2637276,6.3
tt3152624,6.2
tt1392190,8.1
tt4178092,7.1
tt1398426,7.9
tt2381249,7.4
tt3312830,7.3
tt3168230,6.9
tt2582496,7.8
tt3195644,6.1
tt2057392,7.3
tt3850214,7.2
tt3488710,7.3
tt3203606,7.5
tt1850457,6.0
tt0884732,6.7
tt2401878,7.3
tt3045616,5.5
tt3316948,6.1
tt2436386,6.4
tt2561572,6.0
tt1524930,6.1
tt2140379,6.5
tt2679042,5.7
tt3530002,6.4
tt1365050,7.8
tt1979388,6.7
tt3072482,6.7
tt1618442,6.0
tt2381111,7.5
tt3332064,5.8
tt2631186,8.2
tt2510894,6.7
tt2503944,6.6
tt3622592,6.3
tt3322364,7.1
tt3863552,8.0
tt2224026,6.6
tt2199571,6.6
tt2494362,7.1
tt1083452,7.4
tt2726560,7.1
tt1390411,6.9
tt1528854,6.1
tt1014763,6.5
tt1674771,6.6
tt2446980,6.6
tt4062536,7.0
tt1172049,7.0
tt1666801,6.5
tt2402927,7.2
tt3605418,4.9
tt3567288,6.2
tt1051904,6.3
tt2400463,6.7
tt1781922,6.8
tt2713180,7.6
tt1291150,5.8
tt1790864,6.8
tt1253863,6.2
tt1490017,7.8
tt1840309,6.7
tt2397535,7.5
tt2562232,7.7
tt2911666,7.3
tt2582802,8.5
tt2557490,6.1
tt2310332,7.4
tt2084970,8.0
tt1877832,8.0
tt0470752,7.7
tt1065073,7.9
tt2103281,7.6
tt1959490,5.8
tt2109248,5.7
tt2446042,6.0
tt3235888,6.8
tt1872181,6.6
tt2294449,7.0
tt2004420,6.3
tt2245084,7.8
tt1843866,7.8
tt2872732,6.4
tt2872718,7.9
tt2980516,7.7
tt2267998,8.1
tt0829150,6.3
tt1872194,7.4
tt0816692,8.6
tt0455944,7.2
tt1587310,7.0
tt1631867,7.9
tt2802144,7.7
tt1646971,7.8
tt2278388,8.1
tt2582846,7.7
tt2209764,6.3
tt2321549,6.8
tt1951265,6.7
tt0831387,6.4
tt2883512,7.3
tt2015381,8.1
tt2179136,7.3
tt2788710,6.5
tt1234721,6.2
tt2024469,7.0
tt2170439,6.3
tt3416742,7.7
tt2333784,6.1
tt1809398,7.2
tt1924435,6.4
tt3322940,5.4
tt2980592,6.7
tt1126590,7.0
tt1267297,6.0
tt2177771,6.1
tt1020072,7.5
tt2357291,6.3
tt2975578,6.5
tt0458481,6.5
tt1109624,7.2
tt1600196,7.1
tt1121096,5.5
tt2180411,6.0
tt2265171,8.0
tt1921064,5.5
tt2170593,7.3
tt1791528,6.7
tt0365907,6.5
tt2692250,6.2
tt2870612,6.2
tt1086772,6.5
tt2369135,6.5
tt1205537,6.2
tt1605717,7.0
tt1408253,6.2
tt1956620,5.1
tt1418377,5.1
tt1800246,6.2
tt1355630,6.8
tt3011894,8.1
tt2338151,8.2
tt2980648,7.3
tt1911658,6.7
tt1638002,7.2
tt2096672,5.6
tt1528100,6.0
tt1100089,7.0
tt2305051,7.1
tt0435651,6.5
tt2884206,7.4
tt2203939,6.0
tt3316960,7.5
tt1972571,6.8
tt2172934,6.2
tt3007512,7.1
