,0
tt4209788,"['$2,349,967']"
tt3967856,"['$50,000,000']"
tt1981128,"['$120,000,000']"
tt5657846,"['$69,000,000']"
tt2763304,"['$18,000,000']"
tt1860357,"['$110,000,000']"
tt1211837,"['$165,000,000']"
tt1431045,"['$58,000,000']"
tt3110958,"['$90,000,000']"
tt4550098,"['$22,500,000']"
tt1628841,"['$165,000,000']"
tt4776998,"['$90,000,000']"
tt2582782,"['$12,000,000']"
tt2277860,"['$200,000,000']"
tt2709768,"['$75,000,000']"
tt3263904,"['$60,000,000']"
tt3300542,"['$60,000,000']"
tt3385516,"['$178,000,000']"
tt1179933,"['$15,000,000']"
tt2404435,"['$90,000,000']"
tt2119532,"['$40,000,000']"
tt3062096,"['$75,000,000']"
tt3498820,"['$250,000,000']"
tt2005151,"['$40,000,000']"
tt4972582,"['$9,000,000']"
tt4975722,"['$4,000,000']"
tt0918940,"['$180,000,000']"
tt3183660,"['$180,000,000']"
tt1355644,"['$110,000,000']"
tt2543164,"['$47,000,000']"
tt3040964,"['$175,000,000']"
tt3553976,"['$93,824']"
tt4196776,"['$120,000,000']"
tt2140479,"['$44,000,000']"
tt4034228,"['$9,000,000']"
tt3741834,"['$12,000,000']"
tt3748528,"['$200,000,000']"
tt2660888,"['$185,000,000']"
tt4160708,"['$9,900,000']"
tt1489889,"['$50,000,000']"
tt3799694,"['$50,000,000']"
tt2094766,"['$125,000,000']"
tt3065204,"['$40,000,000']"
tt1935859,"['$110,000,000']"
tt3783958,"['$30,000,000']"
tt0803096,"['$160,000,000']"
tt2674426,"['$20,000,000']"
tt1386697,"['$175,000,000']"
tt3521164,"['$150,000,000']"
tt2975590,"['$250,000,000']"
tt1700841,"['$19,000,000']"
tt1289401,"['$144,000,000']"
tt4846340,"['$25,000,000']"
tt2948356,"['$150,000,000']"
tt3631112,"['$45,000,000']"
tt2592614,"['$40,000,000']"
tt3393786,"['$60,000,000']"
tt4857264,"['€4,000,000']"
tt1860213,"['$25,000,000']"
tt4172430,"['$50,000,000']"
tt1974419,"['$7,000,000']"
tt4651520,"['$20,000,000']"
tt4682786,"['$36,000,000']"
tt4438848,"['$35,000,000']"
tt4034354,"['$3,000,000']"
tt4698684,"['$78,439']"
tt2823054,"['$33,000,000']"
tt5311514,"['¥370,000,000']"
tt2404233,"['$140,000,000']"
tt3410834,"['$110,000,000']"
tt3381008,"['$35,000,000']"
tt3691740,"['$140,000,000']"
tt0475290,"['$22,000,000']"
tt2241351,"['$27,000,000']"
tt1292566,"['$38,000,000']"
tt3774114,"['$40,000,000']"
tt4572514,"['$45,000,000']"
tt5700672,"['￦10,000,000,000']"
tt4094724,"['$10,000,000']"
tt3289956,"['$10,474']"
tt4731136,"['$40,000,000']"
tt2381991,"['$115,000,000']"
tt2267968,"['$145,000,000']"
tt4302938,"['$60,000,000']"
tt3416532,"['$43,000,000']"
tt0490215,"['$46,000,000']"
tt2671706,"['$24,000,000']"
tt5022702,"['$1,000,000']"
tt5813916,"['TRL2,000,000']"
tt3531824,"['$19,000,000']"
tt2304933,"['$38,000,000']"
tt1985949,"['$73,000,000']"
tt4786282,"['$4,900,000']"
tt1878870,"['$9,000,000']"
tt3949660,"['$135,000,000']"
tt5074352,"['रू700,000,000']"
tt4016934,"['￦10,000,000,000']"
tt3470600,"['$75,000,000']"
tt4052882,"['$17,000,000']"
tt4501244,"['$38,000,000']"
tt2034800,"['$150,000,000']"
tt2567026,"['$170,000,000']"
tt4276820,"['$25,000,000']"
tt3640424,"['$85,000,000']"
tt3544112,"['$63,573']"
tt1798684,"['$30,000,000']"
tt1964418,"['$190,000,000']"
tt2120120,"['$88,000,000']"
tt1663202,"['$135,000,000']"
tt1823672,"['$49,000,000']"
