,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers
50,tt7349662,"['Crime', 'Drama']",135.0,2018-07-30,53,1,5,13,5.0,7.0,6,28
51,tt1413492,"['War', 'Drama', 'History']",130.0,2018-01-16,76,1,3,18,3.0,31.0,5,1
52,tt5688932,"['Fantasy', 'Science Fiction', 'Comedy']",105.0,2018-07-06,85,1,1,16,2.0,11.0,5,8
53,tt5246700,"['Science Fiction', 'Thriller', 'Mystery']",113.0,2018-07-13,44,1,1,13,4.0,6.0,2,3
54,tt5610554,"['Comedy', 'Drama']",96.0,2018-05-04,34,1,1,20,6.0,28.0,4,1
55,tt5220122,"['Family', 'Fantasy', 'Comedy', 'Animation']",97.0,2018-06-28,48,1,2,4,89.0,,1,21
56,tt2990140,"['Comedy', 'Adventure', 'Family', 'Fantasy']",104.0,2018-11-22,57,1,2,14,9.0,28.0,4,1
57,tt5848272,"['Family', 'Animation', 'Comedy', 'Fantasy']",112.0,2018-11-20,81,2,6,5,96.0,58.0,2,18
58,tt7153766,"['Horror', 'Thriller']",99.0,2018-02-21,34,1,2,7,3.0,5.0,3,12
59,tt7668842,['Comedy'],,2018-01-19,57,1,3,2,5.0,,1,1
60,tt6911608,"['Comedy', 'Romance']",113.0,2018-07-09,242,1,5,17,7.0,15.0,8,16
61,tt6212478,"['Drama', 'Crime']",117.0,2018-06-01,85,1,1,23,5.0,10.0,3,2
62,tt5397194,"['Science Fiction', 'Thriller']",100.0,2018-05-03,53,1,1,14,4.0,6.0,3,2
63,tt0795421,"['Comedy', 'Romance']",108.0,2008-07-02,76,1,1,7,9.0,21.0,5,24
64,tt7014006,"['Comedy', 'Drama']",94.0,2018-01-19,42,1,1,6,3.0,6.0,1,4
65,tt6343314,"['Drama', 'Action']",130.0,2018-11-21,254,1,5,11,4.0,20.0,4,37
66,tt6133466,"['Action', 'Science Fiction', 'Thriller', 'Horror']",97.0,2018-07-04,101,1,1,10,3.0,48.0,3,19
67,tt6306064,"['Thriller', 'Romance', 'Adventure']",96.0,2018-05-31,12,1,5,17,25.0,2.0,4,19
68,tt1620680,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",109.0,2018-03-08,55,1,3,4,11.0,26.0,3,15
